ID|name|x|y
204|Messiah English Lutheran Church|-8524148.959874855|4761896.253943622
205|Parkway Theatre|-8528948.729801968|4766278.707477637
206|Monumental Lodge No.3, Improved Benevolent Protect|-8530418.127550138|4765484.843277089
207|Haven Street Factory|-8522896.617166072|4763911.048604161
208|Public School No. 103, Henry Highland Garnet Schoo|-8530382.635277146|4764984.317428738
209|Cross Keys Valve House|-8532055.130907113|4772835.423943877
210|Enoch Pratt House|-8529197.701347632|4764316.570862636
211|St. John's in the Village|-8528045.945488965|4768363.455412693
212|St. John's in the Village|-8528051.756449362|4768427.229581617
213|St. John's in the Village|-8528050.743992165|4768308.125238761
214|Rehoboth Church of God in Christ Jesus Apostolic|-8534344.549184676|4764105.858009554
215|Olmsted Parkways|-8526306.129282976|4768117.339049496
216|Olmsted Parkways|-8527420.980013112|4768824.00656002
217|Olmsted Parkways|-8534151.684209509|4766839.323184267
218|American Legion Federal Post No. 19|-8530344.406205438|4765408.53097295
219|St. Mark’s Institutional Baptist Church|-8532960.550439987|4764276.596963145
220|Eastern Avenue Pumping Station|-8527453.90254982|4762554.752872027
221|Dr. John Ruhrah Elementary Middle (School #228)|-8521722.734358301|4762483.401115231
222|Patterson Park|-8524227.125998281|4763021.820529461
223|Patterson Park|-8524879.564379703|4763093.410091378
224|Patterson Park|-8524528.371126883|4763142.515224129
225|Greater Faith Baptist Church|-8529808.470272535|4767974.129974656
226|City Hall Rotunda|-8528263.676289344|4763422.422277078
227|Chick Webb Recreation Center|-8526922.535479562|4764420.136936694
228|Harry O. Wilson House|-8527213.62594732|4771149.5238467455
229|Our Saviour Lutheran Church|-8526464.908983871|4768869.037263647
230|Hanlon Park|-8534553.757612973|4767423.434203237
